category,scope,year,count
ALL,서울대,2016,6262
ALL,서울대,2017,6632
ALL,서울대,2018,6775
ALL,서울대,2019,7042
ALL,서울대,2020,7631
ALL,서울대,2021,8168
ALL,서울대,2022,7515
ALL,서울대,2023,7285
ALL,서울대,2024,7690
ALL,서울대,2025,7934
ALL,연세대,2016,4092
ALL,연세대,2017,4026
ALL,연세대,2018,4249
ALL,연세대,2019,4598
ALL,연세대,2020,5105
ALL,연세대,2021,5694
ALL,연세대,2022,5522
ALL,연세대,2023,5180
ALL,연세대,2024,5287
ALL,연세대,2025,5530
ALL,성균관대,2016,3344
ALL,성균관대,2017,3387
ALL,성균관대,2018,3435
ALL,성균관대,2019,3627
ALL,성균관대,2020,3865
ALL,성균관대,2021,4037
ALL,성균관대,2022,3967
ALL,성균관대,2023,4075
ALL,성균관대,2024,4134
ALL,성균관대,2025,4466
ALL,가톨릭대,2016,2048
ALL,가톨릭대,2017,2032
ALL,가톨릭대,2018,2068
ALL,가톨릭대,2019,2313
ALL,가톨릭대,2020,2498
ALL,가톨릭대,2021,2733
ALL,가톨릭대,2022,2512
ALL,가톨릭대,2023,2428
ALL,가톨릭대,2024,2512
ALL,가톨릭대,2025,2611
ALL,울산대,2016,2440
ALL,울산대,2017,2481
ALL,울산대,2018,2508
ALL,울산대,2019,2603
ALL,울산대,2020,3011
ALL,울산대,2021,3341
ALL,울산대,2022,2848
ALL,울산대,2023,2690
ALL,울산대,2024,2638
ALL,울산대,2025,2748
ALL,고려대,2016,3006
ALL,고려대,2017,3219
ALL,고려대,2018,3286
ALL,고려대,2019,3581
ALL,고려대,2020,3949
ALL,고려대,2021,4235
ALL,고려대,2022,3878
ALL,고려대,2023,3769
ALL,고려대,2024,4132
ALL,고려대,2025,4786
ALL,경희대,2016,1791
ALL,경희대,2017,1816
ALL,경희대,2018,2051
ALL,경희대,2019,2089
ALL,경희대,2020,2269
ALL,경희대,2021,2420
ALL,경희대,2022,2246
ALL,경희대,2023,2178
ALL,경희대,2024,2379
ALL,경희대,2025,2641
ALL,전남대,2016,1430
ALL,전남대,2017,1521
ALL,전남대,2018,1545
ALL,전남대,2019,1655
ALL,전남대,2020,1756
ALL,전남대,2021,1965
ALL,전남대,2022,1760
ALL,전남대,2023,1720
ALL,전남대,2024,1855
ALL,전남대,2025,1820
ALL,인제대,2016,1177
ALL,인제대,2017,1233
ALL,인제대,2018,1162
ALL,인제대,2019,1249
ALL,인제대,2020,1255
ALL,인제대,2021,1280
ALL,인제대,2022,1169
ALL,인제대,2023,1080
ALL,인제대,2024,1063
ALL,인제대,2025,1090
ALL,경북대,2016,1477
ALL,경북대,2017,1590
ALL,경북대,2018,1726
ALL,경북대,2019,1784
ALL,경북대,2020,2001
ALL,경북대,2021,2205
ALL,경북대,2022,2014
ALL,경북대,2023,1890
ALL,경북대,2024,1842
ALL,경북대,2025,1937
ALL,부산대,2016,1387
ALL,부산대,2017,1487
ALL,부산대,2018,1607
ALL,부산대,2019,1620
ALL,부산대,2020,1823
ALL,부산대,2021,2016
ALL,부산대,2022,1891
ALL,부산대,2023,1782
ALL,부산대,2024,1874
ALL,부산대,2025,1959
ALL,한양대,2016,1472
ALL,한양대,2017,1443
ALL,한양대,2018,1545
ALL,한양대,2019,1727
ALL,한양대,2020,1916
ALL,한양대,2021,2040
ALL,한양대,2022,2058
ALL,한양대,2023,1884
ALL,한양대,2024,1988
ALL,한양대,2025,2081
ALL,순천향대,2016,804
ALL,순천향대,2017,836
ALL,순천향대,2018,877
ALL,순천향대,2019,983
ALL,순천향대,2020,1040
ALL,순천향대,2021,1098
ALL,순천향대,2022,1007
ALL,순천향대,2023,1062
ALL,순천향대,2024,1114
ALL,순천향대,2025,1109
ALL,아주대,2016,926
ALL,아주대,2017,875
ALL,아주대,2018,967
ALL,아주대,2019,1011
ALL,아주대,2020,1137
ALL,아주대,2021,1262
ALL,아주대,2022,1138
ALL,아주대,2023,1004
ALL,아주대,2024,1081
ALL,아주대,2025,1104
ALL,이화여대,2016,1115
ALL,이화여대,2017,1114
ALL,이화여대,2018,1075
ALL,이화여대,2019,1118
ALL,이화여대,2020,1268
ALL,이화여대,2021,1368
ALL,이화여대,2022,1334
ALL,이화여대,2023,1433
ALL,이화여대,2024,1443
ALL,이화여대,2025,1613
ALL,중앙대,2016,1070
ALL,중앙대,2017,1275
ALL,중앙대,2018,1306
ALL,중앙대,2019,1400
ALL,중앙대,2020,1537
ALL,중앙대,2021,1665
ALL,중앙대,2022,1565
ALL,중앙대,2023,1653
ALL,중앙대,2024,1692
ALL,중앙대,2025,1859
ALL,충남대,2016,1000
ALL,충남대,2017,1108
ALL,충남대,2018,1151
ALL,충남대,2019,1212
ALL,충남대,2020,1476
ALL,충남대,2021,1711
ALL,충남대,2022,1579
ALL,충남대,2023,1470
ALL,충남대,2024,1496
ALL,충남대,2025,1615
ALL,가천대,2016,924
ALL,가천대,2017,965
ALL,가천대,2018,1056
ALL,가천대,2019,1091
ALL,가천대,2020,1264
ALL,가천대,2021,1420
ALL,가천대,2022,1474
ALL,가천대,2023,1347
ALL,가천대,2024,1369
ALL,가천대,2025,1511
ALL,한림대,2016,1116
ALL,한림대,2017,1225
ALL,한림대,2018,1260
ALL,한림대,2019,1345
ALL,한림대,2020,1574
ALL,한림대,2021,1609
ALL,한림대,2022,1518
ALL,한림대,2023,1409
ALL,한림대,2024,1359
ALL,한림대,2025,1418
ALL,건국대,2016,1390
ALL,건국대,2017,1298
ALL,건국대,2018,1275
ALL,건국대,2019,1339
ALL,건국대,2020,1359
ALL,건국대,2021,1410
ALL,건국대,2022,1302
ALL,건국대,2023,1175
ALL,건국대,2024,1187
ALL,건국대,2025,1254
ALL,인하대,2016,756
ALL,인하대,2017,692
ALL,인하대,2018,724
ALL,인하대,2019,873
ALL,인하대,2020,863
ALL,인하대,2021,914
ALL,인하대,2022,832
ALL,인하대,2023,826
ALL,인하대,2024,838
ALL,인하대,2025,899
ALL,전북대,2016,961
ALL,전북대,2017,1030
ALL,전북대,2018,1111
ALL,전북대,2019,1094
ALL,전북대,2020,1153
ALL,전북대,2021,1337
ALL,전북대,2022,1275
ALL,전북대,2023,1282
ALL,전북대,2024,1296
ALL,전북대,2025,1299
ALL,KR,2016,37423
ALL,KR,2017,38079
ALL,KR,2018,39371
ALL,KR,2019,41190
ALL,KR,2020,46039
ALL,KR,2021,50397
ALL,KR,2022,48094
ALL,KR,2023,45178
ALL,KR,2024,45537
ALL,KR,2025,48381
ALL,WORLD,2016,1174253
ALL,WORLD,2017,1190240
ALL,WORLD,2018,1233589
ALL,WORLD,2019,1296678
ALL,WORLD,2020,1491614
ALL,WORLD,2021,1644005
ALL,WORLD,2022,1651900
ALL,WORLD,2023,1570202
ALL,WORLD,2024,1616962
ALL,WORLD,2025,1761326
M1,서울대,2016,91
M1,서울대,2017,87
M1,서울대,2018,107
M1,서울대,2019,98
M1,서울대,2020,119
M1,서울대,2021,128
M1,서울대,2022,115
M1,서울대,2023,125
M1,서울대,2024,152
M1,서울대,2025,206
M1,연세대,2016,45
M1,연세대,2017,50
M1,연세대,2018,55
M1,연세대,2019,53
M1,연세대,2020,83
M1,연세대,2021,93
M1,연세대,2022,72
M1,연세대,2023,82
M1,연세대,2024,66
M1,연세대,2025,93
M1,성균관대,2016,37
M1,성균관대,2017,51
M1,성균관대,2018,62
M1,성균관대,2019,63
M1,성균관대,2020,61
M1,성균관대,2021,70
M1,성균관대,2022,71
M1,성균관대,2023,69
M1,성균관대,2024,75
M1,성균관대,2025,112
M1,가톨릭대,2016,18
M1,가톨릭대,2017,20
M1,가톨릭대,2018,13
M1,가톨릭대,2019,15
M1,가톨릭대,2020,25
M1,가톨릭대,2021,29
M1,가톨릭대,2022,45
M1,가톨릭대,2023,37
M1,가톨릭대,2024,28
M1,가톨릭대,2025,48
M1,울산대,2016,31
M1,울산대,2017,36
M1,울산대,2018,38
M1,울산대,2019,37
M1,울산대,2020,36
M1,울산대,2021,35
M1,울산대,2022,41
M1,울산대,2023,34
M1,울산대,2024,31
M1,울산대,2025,49
M1,고려대,2016,49
M1,고려대,2017,65
M1,고려대,2018,66
M1,고려대,2019,62
M1,고려대,2020,63
M1,고려대,2021,74
M1,고려대,2022,73
M1,고려대,2023,57
M1,고려대,2024,74
M1,고려대,2025,108
M1,경희대,2016,50
M1,경희대,2017,56
M1,경희대,2018,73
M1,경희대,2019,73
M1,경희대,2020,62
M1,경희대,2021,63
M1,경희대,2022,61
M1,경희대,2023,58
M1,경희대,2024,61
M1,경희대,2025,92
M1,전남대,2016,23
M1,전남대,2017,27
M1,전남대,2018,15
M1,전남대,2019,31
M1,전남대,2020,27
M1,전남대,2021,25
M1,전남대,2022,34
M1,전남대,2023,15
M1,전남대,2024,31
M1,전남대,2025,39
M1,인제대,2016,15
M1,인제대,2017,17
M1,인제대,2018,16
M1,인제대,2019,17
M1,인제대,2020,19
M1,인제대,2021,17
M1,인제대,2022,18
M1,인제대,2023,17
M1,인제대,2024,22
M1,인제대,2025,29
M1,경북대,2016,29
M1,경북대,2017,34
M1,경북대,2018,32
M1,경북대,2019,34
M1,경북대,2020,46
M1,경북대,2021,42
M1,경북대,2022,29
M1,경북대,2023,19
M1,경북대,2024,36
M1,경북대,2025,35
M1,부산대,2016,23
M1,부산대,2017,19
M1,부산대,2018,30
M1,부산대,2019,23
M1,부산대,2020,28
M1,부산대,2021,38
M1,부산대,2022,44
M1,부산대,2023,25
M1,부산대,2024,23
M1,부산대,2025,40
M1,한양대,2016,33
M1,한양대,2017,30
M1,한양대,2018,32
M1,한양대,2019,22
M1,한양대,2020,35
M1,한양대,2021,29
M1,한양대,2022,36
M1,한양대,2023,37
M1,한양대,2024,36
M1,한양대,2025,53
M1,순천향대,2016,15
M1,순천향대,2017,18
M1,순천향대,2018,8
M1,순천향대,2019,14
M1,순천향대,2020,17
M1,순천향대,2021,21
M1,순천향대,2022,22
M1,순천향대,2023,28
M1,순천향대,2024,34
M1,순천향대,2025,51
M1,아주대,2016,11
M1,아주대,2017,12
M1,아주대,2018,10
M1,아주대,2019,13
M1,아주대,2020,18
M1,아주대,2021,26
M1,아주대,2022,25
M1,아주대,2023,22
M1,아주대,2024,32
M1,아주대,2025,49
M1,이화여대,2016,19
M1,이화여대,2017,24
M1,이화여대,2018,16
M1,이화여대,2019,15
M1,이화여대,2020,23
M1,이화여대,2021,25
M1,이화여대,2022,23
M1,이화여대,2023,28
M1,이화여대,2024,27
M1,이화여대,2025,37
M1,중앙대,2016,12
M1,중앙대,2017,19
M1,중앙대,2018,13
M1,중앙대,2019,16
M1,중앙대,2020,21
M1,중앙대,2021,24
M1,중앙대,2022,19
M1,중앙대,2023,33
M1,중앙대,2024,33
M1,중앙대,2025,52
M1,충남대,2016,11
M1,충남대,2017,15
M1,충남대,2018,19
M1,충남대,2019,26
M1,충남대,2020,34
M1,충남대,2021,28
M1,충남대,2022,28
M1,충남대,2023,30
M1,충남대,2024,23
M1,충남대,2025,31
M1,가천대,2016,22
M1,가천대,2017,39
M1,가천대,2018,33
M1,가천대,2019,27
M1,가천대,2020,36
M1,가천대,2021,46
M1,가천대,2022,53
M1,가천대,2023,43
M1,가천대,2024,44
M1,가천대,2025,84
M1,한림대,2016,13
M1,한림대,2017,20
M1,한림대,2018,17
M1,한림대,2019,18
M1,한림대,2020,23
M1,한림대,2021,31
M1,한림대,2022,29
M1,한림대,2023,34
M1,한림대,2024,26
M1,한림대,2025,58
M1,건국대,2016,28
M1,건국대,2017,28
M1,건국대,2018,30
M1,건국대,2019,32
M1,건국대,2020,38
M1,건국대,2021,38
M1,건국대,2022,32
M1,건국대,2023,40
M1,건국대,2024,38
M1,건국대,2025,42
M1,인하대,2016,13
M1,인하대,2017,15
M1,인하대,2018,5
M1,인하대,2019,8
M1,인하대,2020,17
M1,인하대,2021,20
M1,인하대,2022,21
M1,인하대,2023,22
M1,인하대,2024,21
M1,인하대,2025,35
M1,전북대,2016,14
M1,전북대,2017,20
M1,전북대,2018,17
M1,전북대,2019,25
M1,전북대,2020,24
M1,전북대,2021,17
M1,전북대,2022,15
M1,전북대,2023,19
M1,전북대,2024,24
M1,전북대,2025,24
M1,KR,2016,507
M1,KR,2017,573
M1,KR,2018,584
M1,KR,2019,615
M1,KR,2020,750
M1,KR,2021,805
M1,KR,2022,744
M1,KR,2023,743
M1,KR,2024,785
M1,KR,2025,1010
M1,WORLD,2016,13178
M1,WORLD,2017,14233
M1,WORLD,2018,15270
M1,WORLD,2019,16207
M1,WORLD,2020,18535
M1,WORLD,2021,20268
M1,WORLD,2022,20698
M1,WORLD,2023,20760
M1,WORLD,2024,23027
M1,WORLD,2025,28225
M2,서울대,2016,163
M2,서울대,2017,191
M2,서울대,2018,196
M2,서울대,2019,219
M2,서울대,2020,235
M2,서울대,2021,246
M2,서울대,2022,226
M2,서울대,2023,219
M2,서울대,2024,250
M2,서울대,2025,232
M2,연세대,2016,92
M2,연세대,2017,107
M2,연세대,2018,129
M2,연세대,2019,167
M2,연세대,2020,184
M2,연세대,2021,190
M2,연세대,2022,175
M2,연세대,2023,180
M2,연세대,2024,188
M2,연세대,2025,176
M2,성균관대,2016,128
M2,성균관대,2017,146
M2,성균관대,2018,148
M2,성균관대,2019,167
M2,성균관대,2020,182
M2,성균관대,2021,186
M2,성균관대,2022,167
M2,성균관대,2023,182
M2,성균관대,2024,175
M2,성균관대,2025,179
M2,가톨릭대,2016,43
M2,가톨릭대,2017,33
M2,가톨릭대,2018,58
M2,가톨릭대,2019,82
M2,가톨릭대,2020,80
M2,가톨릭대,2021,95
M2,가톨릭대,2022,84
M2,가톨릭대,2023,82
M2,가톨릭대,2024,100
M2,가톨릭대,2025,82
M2,울산대,2016,117
M2,울산대,2017,122
M2,울산대,2018,113
M2,울산대,2019,131
M2,울산대,2020,167
M2,울산대,2021,200
M2,울산대,2022,154
M2,울산대,2023,152
M2,울산대,2024,156
M2,울산대,2025,160
M2,고려대,2016,46
M2,고려대,2017,66
M2,고려대,2018,51
M2,고려대,2019,51
M2,고려대,2020,67
M2,고려대,2021,77
M2,고려대,2022,72
M2,고려대,2023,69
M2,고려대,2024,69
M2,고려대,2025,99
M2,경희대,2016,27
M2,경희대,2017,16
M2,경희대,2018,21
M2,경희대,2019,31
M2,경희대,2020,37
M2,경희대,2021,43
M2,경희대,2022,45
M2,경희대,2023,26
M2,경희대,2024,38
M2,경희대,2025,42
M2,전남대,2016,17
M2,전남대,2017,16
M2,전남대,2018,28
M2,전남대,2019,32
M2,전남대,2020,38
M2,전남대,2021,43
M2,전남대,2022,44
M2,전남대,2023,41
M2,전남대,2024,36
M2,전남대,2025,32
M2,인제대,2016,23
M2,인제대,2017,18
M2,인제대,2018,23
M2,인제대,2019,31
M2,인제대,2020,23
M2,인제대,2021,33
M2,인제대,2022,25
M2,인제대,2023,17
M2,인제대,2024,23
M2,인제대,2025,34
M2,경북대,2016,17
M2,경북대,2017,28
M2,경북대,2018,21
M2,경북대,2019,23
M2,경북대,2020,28
M2,경북대,2021,44
M2,경북대,2022,31
M2,경북대,2023,38
M2,경북대,2024,29
M2,경북대,2025,29
M2,부산대,2016,21
M2,부산대,2017,27
M2,부산대,2018,18
M2,부산대,2019,27
M2,부산대,2020,41
M2,부산대,2021,38
M2,부산대,2022,33
M2,부산대,2023,35
M2,부산대,2024,42
M2,부산대,2025,42
M2,한양대,2016,21
M2,한양대,2017,30
M2,한양대,2018,22
M2,한양대,2019,20
M2,한양대,2020,33
M2,한양대,2021,34
M2,한양대,2022,34
M2,한양대,2023,39
M2,한양대,2024,27
M2,한양대,2025,33
M2,순천향대,2016,20
M2,순천향대,2017,31
M2,순천향대,2018,33
M2,순천향대,2019,32
M2,순천향대,2020,22
M2,순천향대,2021,31
M2,순천향대,2022,31
M2,순천향대,2023,21
M2,순천향대,2024,32
M2,순천향대,2025,27
M2,아주대,2016,19
M2,아주대,2017,19
M2,아주대,2018,22
M2,아주대,2019,32
M2,아주대,2020,23
M2,아주대,2021,30
M2,아주대,2022,32
M2,아주대,2023,19
M2,아주대,2024,20
M2,아주대,2025,28
M2,이화여대,2016,17
M2,이화여대,2017,24
M2,이화여대,2018,16
M2,이화여대,2019,17
M2,이화여대,2020,19
M2,이화여대,2021,29
M2,이화여대,2022,26
M2,이화여대,2023,22
M2,이화여대,2024,26
M2,이화여대,2025,21
M2,중앙대,2016,20
M2,중앙대,2017,13
M2,중앙대,2018,16
M2,중앙대,2019,19
M2,중앙대,2020,16
M2,중앙대,2021,27
M2,중앙대,2022,30
M2,중앙대,2023,23
M2,중앙대,2024,25
M2,중앙대,2025,23
